Optimal HV: 17035431968
Iteration 000: HV = 2086946395.47, HVR = 0.12
Iteration 001: HV = 2175398526.81, HVR = 0.13
Iteration 002: HV = 2524389648.94, HVR = 0.15
Iteration 003: HV = 2532639745.49, HVR = 0.15
Iteration 004: HV = 2759659158.67, HVR = 0.16
Iteration 005: HV = 2862055286.77, HVR = 0.17
Iteration 006: HV = 2895504761.71, HVR = 0.17
Iteration 007: HV = 2884511240.26, HVR = 0.17
Iteration 008: HV = 2942091727.36, HVR = 0.17
Iteration 009: HV = 3028007243.64, HVR = 0.18
Iteration 010: HV = 3065818313.59, HVR = 0.18
Iteration 011: HV = 3110255191.72, HVR = 0.18
Iteration 012: HV = 3416211173.93, HVR = 0.20
Iteration 013: HV = 3514242136.34, HVR = 0.21
Iteration 014: HV = 3514242136.34, HVR = 0.21
Iteration 015: HV = 3495874127.87, HVR = 0.21
Iteration 016: HV = 3510555198.55, HVR = 0.21
Iteration 017: HV = 3510555198.55, HVR = 0.21
Iteration 018: HV = 3441141271.46, HVR = 0.20
Iteration 019: HV = 3468399318.22, HVR = 0.20
Iteration 020: HV = 3509991754.08, HVR = 0.21
Iteration 021: HV = 3496434254.19, HVR = 0.21
Iteration 022: HV = 3589436618.22, HVR = 0.21
Iteration 023: HV = 3629300066.86, HVR = 0.21
Iteration 024: HV = 3661243274.60, HVR = 0.21
Iteration 025: HV = 3665261150.56, HVR = 0.22
Iteration 026: HV = 3671582907.10, HVR = 0.22
Iteration 027: HV = 3709969277.59, HVR = 0.22
Iteration 028: HV = 3740922668.88, HVR = 0.22
Iteration 029: HV = 3755591679.09, HVR = 0.22
Iteration 030: HV = 3770145254.75, HVR = 0.22
Iteration 031: HV = 3780471910.94, HVR = 0.22
Iteration 032: HV = 3848896263.78, HVR = 0.23
Iteration 033: HV = 3837184523.71, HVR = 0.23
Iteration 034: HV = 3831377459.55, HVR = 0.22
Iteration 035: HV = 3831377459.55, HVR = 0.22
Iteration 036: HV = 3881596933.80, HVR = 0.23
Iteration 037: HV = 4034948741.23, HVR = 0.24
Iteration 038: HV = 4010272889.40, HVR = 0.24
Iteration 039: HV = 4123408329.23, HVR = 0.24
Iteration 040: HV = 4147935424.86, HVR = 0.24
Iteration 041: HV = 4109705735.68, HVR = 0.24
Iteration 042: HV = 4067435915.11, HVR = 0.24
Iteration 043: HV = 4154483805.74, HVR = 0.24
